City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ihosy,-22.4,46.12,77.27,43,91,5.77,MG,1605815127
1,darhan,49.49,105.92,13.19,88,94,4.88,MN,1605815127
2,mar del plata,-38.0,-57.56,62.6,72,0,11.41,AR,1605815128
3,bluff,-46.6,168.33,55.99,92,100,5.99,NZ,1605815128
4,mataura,-46.19,168.86,55.99,92,100,5.99,NZ,1605815128
5,luau,-10.71,22.22,67.91,92,100,2.8,AO,1605815128
6,hilo,19.73,-155.09,77.0,83,90,4.7,US,1605814984
7,ponta do sol,32.67,-17.1,66.2,72,20,11.41,PT,1605815128
8,hobart,-42.88,147.33,60.01,93,75,8.05,AU,1605815104
9,salalah,17.02,54.09,78.8,65,0,4.7,OM,1605815128
10,bengkulu,-3.8,102.27,76.03,89,100,6.96,ID,1605814935
11,busselton,-33.65,115.33,57.99,85,100,4.9,AU,1605815128
12,ostrovnoy,68.05,39.51,43.11,89,100,25.23,RU,1605815128
13,marsa matruh,31.35,27.25,62.6,77,40,4.7,EG,1605815128
14,sitka,57.05,-135.33,37.4,59,75,8.05,US,1605815129
15,severo-kurilsk,50.68,156.12,32.43,93,100,23.51,RU,1605815129
16,punta arenas,-53.15,-70.92,60.8,44,0,19.46,CL,1605815129
17,bredasdorp,-34.53,20.04,62.6,72,0,8.05,ZA,1605815129
18,nanortalik,60.14,-45.24,32.54,94,91,7.7,GL,1605815129
19,kosikha,53.36,84.58,10.4,78,75,11.18,RU,1605815129
20,ribeira grande,38.52,-28.7,57.2,76,20,9.17,PT,1605815129
21,jamestown,42.1,-79.24,55.99,34,1,19.46,US,1605815129
22,conceicao da barra,-18.59,-39.73,77.38,91,100,9.31,BR,1605815129
23,kavaratti,10.57,72.64,82.15,80,75,13.0,IN,1605815129
24,rikitea,-23.12,-134.97,70.54,82,100,12.28,PF,1605815130
25,port hardy,50.7,-127.42,42.8,93,90,5.82,CA,1605814987
26,lagoa,39.05,-27.98,60.15,66,0,12.86,PT,1605815130
27,durban,-29.86,31.03,66.2,82,75,13.87,ZA,1605815003
28,borovikha,53.51,83.84,10.4,78,75,11.18,RU,1605815130
29,narsaq,60.92,-46.05,32.0,97,75,1.34,GL,1605815130
30,coquimbo,-29.95,-71.34,64.4,59,40,12.75,CL,1605815103
31,albany,42.6,-73.97,43.0,42,100,1.99,US,1605815130
32,cherskiy,68.75,161.3,7.66,96,80,3.04,RU,1605815130
33,hermanus,-34.42,19.23,62.01,79,0,3.0,ZA,1605815130
34,upernavik,72.79,-56.15,28.83,88,100,5.99,GL,1605815130
35,northam,51.03,-4.22,48.0,77,100,7.0,GB,1605815130
36,luderitz,-26.65,15.16,66.65,58,0,16.04,NA,1605815131
37,butaritari,3.07,172.79,82.67,76,100,17.09,KI,1605815131
38,chuy,-33.7,-53.46,66.69,56,24,11.36,UY,1605815131
39,cabo san lucas,22.89,-109.91,96.8,43,5,6.93,MX,1605815131
40,leningradskiy,69.38,178.42,27.36,97,100,2.01,RU,1605815131
41,constitucion,-35.33,-72.42,57.06,76,88,7.92,CL,1605815131
42,aklavik,68.22,-135.01,-4.0,83,20,6.93,CA,1605815131
43,kahului,20.89,-156.47,80.6,61,20,16.11,US,1605815131
44,lompoc,34.64,-120.46,68.0,59,1,3.36,US,1605815131
45,mweka,-4.85,21.57,69.85,97,100,0.69,CD,1605815132
46,atuona,-9.8,-139.03,78.13,73,5,10.11,PF,1605815132
47,tuktoyaktuk,69.45,-133.04,6.8,77,75,11.41,CA,1605815132
48,vuktyl,63.86,57.31,29.52,97,100,17.78,RU,1605815132
49,new norfolk,-42.78,147.06,57.99,68,46,3.71,AU,1605815132
50,christchurch,-43.53,172.63,57.99,93,6,2.24,NZ,1605815105
51,arraial do cabo,-22.97,-42.03,78.8,88,75,8.05,BR,1605814879
52,ushuaia,-54.8,-68.3,53.6,66,75,17.22,AR,1605814856
53,saskylakh,71.92,114.08,19.58,95,99,12.97,RU,1605815132
54,norman wells,65.28,-126.83,-13.0,75,5,2.24,CA,1605815133
55,mantua,45.17,10.78,43.0,98,0,5.3,IT,1605815045
56,qasigiannguit,68.82,-51.19,28.4,58,75,9.17,GL,1605815133
57,labuhan,-6.88,112.21,82.24,75,100,1.97,ID,1605815133
58,wukari,7.85,9.78,80.58,36,100,1.83,NG,1605815133
59,palu,-0.89,119.87,76.24,81,100,1.77,ID,1605815133
60,okhotsk,59.38,143.3,-2.72,87,0,24.74,RU,1605815133
61,avarua,-21.21,-159.78,78.8,88,99,10.29,CK,1605815133
62,castro,-24.79,-50.01,65.03,76,66,6.62,BR,1605815133
63,bayan,46.08,127.4,18.12,96,100,7.25,CN,1605815133
64,ilulissat,69.22,-51.1,28.4,58,75,9.17,GL,1605815133
65,tomatlan,19.93,-105.25,95.18,31,0,6.91,MX,1605815134
66,lillooet,50.69,-121.94,44.6,65,75,16.11,CA,1605815134
67,cape town,-33.93,18.42,66.99,59,0,13.87,ZA,1605814878
68,cheney,47.49,-117.58,41.0,75,75,20.8,US,1605815134
69,sorland,67.67,12.69,35.6,59,75,20.8,NO,1605815134
70,aljezur,37.32,-8.8,68.0,64,86,5.99,PT,1605815134
71,taltal,-25.4,-70.48,63.61,56,22,6.42,CL,1605815134
72,bambous virieux,-20.34,57.76,71.6,94,75,3.36,MU,1605815134
73,pala,9.36,14.9,78.31,34,6,2.64,TD,1605815134
74,vaini,-21.2,-175.2,77.0,88,75,6.93,TO,1605815134
75,rio grande,-32.03,-52.1,71.6,60,75,11.41,BR,1605815134
76,qaanaaq,77.48,-69.36,28.42,89,100,11.14,GL,1605815134
77,khatanga,71.97,102.5,16.93,96,100,18.28,RU,1605815135
78,shingu,33.73,135.98,65.98,90,100,8.59,JP,1605815135
79,jieshi,22.81,115.83,78.01,87,18,5.12,CN,1605815135
